code_iris,Animation,Commerces et services de proximité,Culture et loisirs,Enseignement,Espaces verts,Santé,Services,Sport,Sécurité,Tourisme,Transports,prix_m2_median,arrondissement
751114212.0,0.07853403141361257,0.023081721771678103,0.14285714285714285,0.2962962962962963,0.0,0.06763285024154589,0.012903225806451613,0.07500000000000001,0.0,0.009009009009009009,0.009523809523809525,10227.083333333334,11
751114213.0,0.16230366492146597,0.026824703680598878,0.0,0.2222222222222222,0.0,0.09178743961352656,0.02903225806451613,0.0,0.0,0.018018018018018018,0.01666666666666667,10227.083333333334,11
751114214.0,0.10471204188481675,0.009981285090455396,0.0,0.1111111111111111,0.07142857142857142,0.043478260869565216,0.012903225806451613,0.0,0.0,0.018018018018018018,0.014285714285714287,10227.083333333334,11
751114301.0,0.03141361256544503,0.012476606363069246,0.0,0.1111111111111111,0.07142857142857142,0.00966183574879227,0.0032258064516129032,0.17500000000000002,0.0,0.0,0.014285714285714287,10227.083333333334,11
751114302.0,0.09424083769633508,0.022457891453524642,0.0,0.1111111111111111,0.14285714285714285,0.2077294685990338,0.03870967741935484,0.05,0.0,0.036036036036036036,0.01904761904761905,10227.083333333334,11
751114303.0,0.02617801047120419,0.013100436681222707,0.0,0.0,0.0,0.024154589371980676,0.012903225806451613,0.025,0.0,0.009009009009009009,0.009523809523809525,10227.083333333334,11
751114304.0,0.05235602094240838,0.011852776044915784,0.0,0.0,0.0,0.43478260869565216,0.0064516129032258064,0.0,0.0,0.0,0.01666666666666667,10227.083333333334,11
751114305.0,0.24607329842931938,0.044915782907049284,0.0,0.18518518518518517,0.14285714285714285,0.24637681159420288,0.02903225806451613,0.125,0.0,0.036036036036036036,0.02380952380952381,10227.083333333334,11
751114306.0,0.22513089005235604,0.0611353711790393,0.14285714285714285,0.037037037037037035,0.14285714285714285,0.18357487922705312,0.05161290322580645,0.07500000000000001,0.0,0.06306306306306306,0.0380952380952381,10227.083333333334,11
751114307.0,0.12565445026178013,0.02744853399875234,0.0,0.1111111111111111,0.0,0.10628019323671498,0.02258064516129032,0.05,0.0,0.04504504504504504,0.030952380952380953,10227.083333333334,11
751114308.0,0.08900523560209425,0.024329382407985028,0.0,0.037037037037037035,0.0,0.12077294685990338,0.012903225806451613,0.0,0.25,0.018018018018018018,0.011904761904761906,10227.083333333334,11
751114309.0,0.03664921465968587,0.014971927635683094,0.14285714285714285,0.18518518518518517,0.07142857142857142,0.11594202898550723,0.00967741935483871,0.025,0.0,0.009009009009009009,0.009523809523809525,10227.083333333334,11
751114310.0,0.15183246073298431,0.024329382407985028,0.0,0.25925925925925924,0.0,0.07246376811594203,0.00967741935483871,0.07500000000000001,0.0,0.02702702702702703,0.004761904761904762,10227.083333333334,11
751114311.0,0.42408376963350786,0.034310667498440424,0.2857142857142857,0.07407407407407407,0.0,0.11594202898550723,0.01935483870967742,0.07500000000000001,0.0,0.05405405405405406,0.01904761904761905,10227.083333333334,11
